feature,assignation_round,annotations_subset,feature_type,feature_output,feature_biotype,community_flag
AC137708.1-201,small,small,transcript,transcript_name,misc_RNA,False
AF357341-201,small,small,transcript,transcript_name,snoRNA,False
AF357399-201,small,small,transcript,transcript_name,snoRNA,False
AF357425-201,small,small,transcript,transcript_name,snoRNA,False
AF357428-201,small,small,transcript,transcript_name,snoRNA,False
Bc1-ps1-201,small,small,transcript,transcript_name,scRNA,False
CT010467.1-201,small,small,transcript,transcript_name,rRNA,False
DQ267100-201,small,small,transcript,transcript_name,snoRNA,False
DQ267102-201,small,small,transcript,transcript_name,snoRNA,False
Gm22009-201,small,small,transcript,transcript_name,scaRNA,False
Gm22016-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22027-201,small,small,transcript,transcript_name,snoRNA,False
Gm22037-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22046-201,small,small,transcript,transcript_name,snoRNA,False
Gm22054-201,small,small,transcript,transcript_name,snRNA,False
Gm22056-201,small,small,transcript,transcript_name,snRNA,False
Gm22059-201,small,small,transcript,transcript_name,snoRNA,False
Gm22077-201,small,small,transcript,transcript_name,snoRNA,False
Gm22079-201,small,small,transcript,transcript_name,snRNA,False
Gm22083-201,small,small,transcript,transcript_name,snRNA,False
Gm22085-201,small,small,transcript,transcript_name,snRNA,False
Gm22089-201,small,small,transcript,transcript_name,snRNA,False
Gm22090-201,small,small,transcript,transcript_name,snRNA,False
Gm22097-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22105-201,small,small,transcript,transcript_name,snRNA,False
Gm22107-201,small,small,transcript,transcript_name,snRNA,False
Gm22108-201,small,small,transcript,transcript_name,snRNA,False
Gm22113-201,small,small,transcript,transcript_name,snRNA,False
Gm22126-201,small,small,transcript,transcript_name,snRNA,False
Gm22129-201_Gm22392-201_Gm23463-201_Gm23241-201_Gm22229-201_Gm22004-201,small,small,transcript,transcript_name,snRNA,True
Gm22140-201,small,small,transcript,transcript_name,snRNA,False
Gm22154-201,small,small,transcript,transcript_name,snoRNA,False
Gm22165-201,small,small,transcript,transcript_name,snRNA,False
Gm22192-201_Gm25632-201,small,small,transcript,transcript_name,snoRNA,True
Gm22193-201,small,small,transcript,transcript_name,snoRNA,False
Gm22198-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22212-201,small,small,transcript,transcript_name,snRNA,False
Gm22217-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22246-201,small,small,transcript,transcript_name,snRNA,False
Gm22247-201,small,small,transcript,transcript_name,snoRNA,False
Gm22248-201,small,small,transcript,transcript_name,snRNA,False
Gm22262-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22267-201,small,small,transcript,transcript_name,snoRNA,False
Gm22270-201_Gm22480-201,small,small,transcript,transcript_name,snoRNA,True
Gm22294-201,small,small,transcript,transcript_name,snRNA,False
Gm22295-201,small,small,transcript,transcript_name,snRNA,False
Gm22296-201,small,small,transcript,transcript_name,snRNA,False
Gm22301-201,small,small,transcript,transcript_name,snRNA,False
Gm22303-201_Gm24355-201_Gm22358-201,small,small,transcript,transcript_name,snoRNA,True
Gm22306-201,small,small,transcript,transcript_name,snRNA,False
Gm22313-201,small,small,transcript,transcript_name,snoRNA,False
Gm22314-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22325-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22327-201,small,small,transcript,transcript_name,snoRNA,False
Gm22334-201,small,small,transcript,transcript_name,snoRNA,False
Gm22337-201,small,small,transcript,transcript_name,snoRNA,False
Gm22341-201,small,small,transcript,transcript_name,snoRNA,False
Gm22343-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22345-201,small,small,transcript,transcript_name,snRNA,False
Gm22354-201,small,small,transcript,transcript_name,snoRNA,False
Gm22357-201,small,small,transcript,transcript_name,snoRNA,False
Gm22362-201,small,small,transcript,transcript_name,snoRNA,False
Gm22378-201,small,small,transcript,transcript_name,snRNA,False
Gm22422-201,small,small,transcript,transcript_name,snoRNA,False
Gm22423-201_Gm22984-201_Gm25259-201,small,small,transcript,transcript_name,snRNA,True
Gm22442-201,small,small,transcript,transcript_name,scaRNA,False
Gm22454-201_Gm26176-201,small,small,transcript,transcript_name,snRNA,True
Gm22455-201,small,small,transcript,transcript_name,snoRNA,False
Gm22479-201,small,small,transcript,transcript_name,snRNA,False
Gm22481-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22484-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22486-201,small,small,transcript,transcript_name,snoRNA,False
Gm22488-201,small,small,transcript,transcript_name,snoRNA,False
Gm22489-201,small,small,transcript,transcript_name,snoRNA,False
Gm22500-201,small,small,transcript,transcript_name,snRNA,False
Gm22505-201_Gm22363-201_Gm23264-201_Gm22997-201_Gm25008-201_Gm24978-201,small,small,transcript,transcript_name,snRNA,True
Gm22516-201,small,small,transcript,transcript_name,snoRNA,False
Gm22523-201,small,small,transcript,transcript_name,snRNA,False
Gm22532-201,small,small,transcript,transcript_name,snoRNA,False
Gm22554-201,small,small,transcript,transcript_name,snoRNA,False
Gm22571-201,small,small,transcript,transcript_name,snoRNA,False
Gm22579-201_Gm24539-201_Gm24095-201_Gm24945-201_Gm22743-201_Gm22765-201,small,small,transcript,transcript_name,snoRNA,True
Gm22581-201,small,small,transcript,transcript_name,snoRNA,False
Gm22589-201,small,small,transcript,transcript_name,snoRNA,False
