UniqueCount	AmbigCount
1	85
83	1448
1	364
1540	443
6	79
0	0
1733	680
16	2
0	2573
34	2074
1	65
0	614
4	408
0	26
4	76
687	241
0	0
0	438
0	199
0	0
0	0
0	0
14	496
3	288
341	312
20	1212
1	435
0	0
1	3
0	0
0	4
0	91
0	0
0	0
27	623
0	23
0	321
0	0
0	0
9	774
71	50
0	13
0	1
0	0
0	23
240	127
1	581
0	147
0	1053
0	0
2	541
1	551
0	1108
1	83
77	360
0	403
0	51
0	5
0	0
0	3
301	542
0	92
10	2018
1	6584
0	0
0	0
1	22
0	1
0	0
0	12
5	6725
0	14
19	218
88	524
0	3010
0	141
0	16
0	0
0	0
0	0
81	1890
1	2200
213	192
41	783
0	0
0	0
10	161
17	435
0	0
287	453
0	0
5	2379
0	598
0	0
40	19
19	284
0	1547
0	0
0	0
541	715
2	2165
0	89
0	263
617	303
1401	6
462	0
0	0
6	331
14	0
0	0
0	1
0	0
0	0
0	426
0	259
25	57
0	1422
0	204
2	138
39	845
7	715
0	171
0	0
0	0
1	176
3	1470
0	365
2	26
65	582
26	597
0	0
2	1238
31	16
0	7
18	480
11	196
3	1
2462	604
0	56
0	574
0	34
0	48
1	0
1	0
0	74
9	1356
0	0
0	257
0	184
9	254
0	5
20	69
0	0
0	493
1	0
0	132
2	324
350	223
0	1
70	219
251	168
13	94
0	161
3	133
0	0
19	964
6	130
1400	405
0	0
0	0
0	0
0	0
0	35
20	31
0	128
320	421
2	1
0	0
5	215
0	0
0	0
0	32
0	26
1	723
0	0
6	1533
58	402
0	0
0	0
12	214
0	0
0	30
6	1
0	108
21	92
584	194
0	0
0	0
0	2
0	0
2	260
0	17
0	0
1	158
0	195
0	287
0	0
0	210
0	3
0	491
2	0
129	2395
0	0
14	197
25	1473
726	4342
0	0
0	0
0	2468
0	1521
26	12
0	0
77	10
2	53
0	1
11	718
0	1239
71	559
0	19
256	54
15	344
0	0
0	498
0	0
0	0
0	0
1047	1287
0	0
95	19
0	0
190	427
62	112
2	220
0	414
22	398
0	0
0	0
0	3799
278	816
0	0
21	2169
7	159
0	45
0	0
0	0
0	219
0	0
0	0
127	58
233	1
1	2
0	404
0	266
0	623
0	667
0	0
0	271
3	84
35	1330
366	133
63	231
306	183
0	0
115	651
2	321
0	81
110	48
1066	161
43	185
42	512
0	0
71	369
121	591
0	1
0	32
0	3
14	191
0	126
42	55
0	0
0	0
0	0
0	468
5	325
10	1896
75	182
0	435
5	890
192	7
0	209
0	0
0	0
21	198
0	3
3	760
72	106
210	244
0	1805
1	2
8	2091
139	325
258	268
0	55
0	0
0	0
256	0
0	0
127	1160
0	0
0	1
0	142
0	0
0	0
0	0
6	243
0	65
1	83
0	0
158	77
1	284
